HPC95,parameter.value,count
0,849.333333,0
0,852,0
0,854.666667,0
0,857.333333,0
0,860,0
0,862.666667,0
0,865.333333,0
0,868,0
0,870.666667,0
0,873.333333,0
0,876,0
0,878.666667,0
0,881.333333,0
0,884,0
0,886.666667,0
0,889.333333,0
0,892,0
0,894.666667,0
0,897.333333,0
0,900,0
0,902.666667,0
0,905.333333,0
0,908,0
0,910.666667,0
0,913.333333,0
0,916,0
0,918.666667,0
0,921.333333,0
0,924,0
0,926.666667,0
0,929.333333,0
0,932,0
0,934.666667,0
0,937.333333,0
0,940,0
0,942.666667,0
0,945.333333,0
0,948,0
0,950.666667,0
0,953.333333,0
0,956,0
0,958.666667,0
0,961.333333,0
0,964,0
0,966.666667,0
0,969.333333,0
0,972,0
0,974.666667,0
0,977.333333,0
0,980,0
0,982.666667,0
0,985.333333,0
0,988,0
0,990.666667,0
0,993.333333,0
0,996,0
0,998.666667,0
0,1001.333333,0
0,1004,0
0,1006.666667,0
0,1009.333333,0
0,1012,0
0,1014.666667,0
0,1017.333333,0
0,1020,0
0,1022.666667,0
0,1025.333333,0
0,1028,0
0,1030.666667,0
0,1033.333333,0
0,1036,0
0,1038.666667,0
0,1041.333333,0
0,1044,0
0,1046.666667,0
0,1049.333333,0
0,1052,0
0,1054.666667,0
0,1057.333333,0
0,1060,0
0,1062.666667,0
0,1065.333333,0
0,1068,0
0,1070.666667,0
0,1073.333333,0
0,1076,0
0,1078.666667,0
0,1081.333333,0
0,1084,0
0,1086.666667,0
0,1089.333333,0
0,1092,0
0,1094.666667,0
0,1097.333333,0
0,1100,0
0,1102.666667,0
0,1105.333333,0
0,1108,0
0,1110.666667,0
0,1113.333333,0
0,1116,0
0,1118.666667,0
0,1121.333333,0
0,1124,0
0,1126.666667,0
0,1129.333333,0
0,1132,0
0,1134.666667,0
0,1137.333333,0
0,1140,0
0,1142.666667,0
0,1145.333333,0
0,1148,0
0,1150.666667,0
0,1153.333333,0
0,1156,0
0,1158.666667,0
0,1161.333333,0
0,1164,0
0,1166.666667,0
0,1169.333333,0
0,1172,0
0,1174.666667,0
0,1177.333333,0
0,1180,0
0,1182.666667,0
0,1185.333333,0
0,1188,0
0,1190.666667,0
0,1193.333333,0
0,1196,0
0,1198.666667,0
0,1201.333333,0
0,1204,0
0,1206.666667,0
0,1209.333333,0
0,1212,0
0,1214.666667,0
0,1217.333333,0
0,1220,0
0,1222.666667,0
0,1225.333333,0
0,1228,0
0,1230.666667,0
0,1233.333333,0
0,1236,0
0,1238.666667,0
0,1241.333333,0
0,1244,0
0,1246.666667,0
0,1249.333333,0
0,1252,0
0,1254.666667,0
0,1257.333333,0
0,1260,0
0,1262.666667,0
0,1265.333333,0
0,1268,0
0,1270.666667,0
0,1273.333333,0
0,1276,0
0,1278.666667,0
0,1281.333333,0
0,1284,0
0,1286.666667,0
0,1289.333333,0
0,1292,0
0,1294.666667,0
0,1297.333333,0
0,1300,0
0,1302.666667,0
0,1305.333333,0
0,1308,0
0,1310.666667,0
0,1313.333333,0
0,1316,0
0,1318.666667,0
0,1321.333333,0
0,1324,0
0,1326.666667,0
0,1329.333333,0
0,1332,0
0,1334.666667,0
0,1337.333333,0
0,1340,0
0,1342.666667,0
0,1345.333333,0
0,1348,0
0,1350.666667,0
0,1353.333333,0
0,1356,0
0,1358.666667,0
0,1361.333333,0
0,1364,0
0,1366.666667,0
0,1369.333333,0
0,1372,0
0,1374.666667,0
0,1377.333333,0
0,1380,0
0,1382.666667,0
0,1385.333333,0
0,1388,0
0,1390.666667,0
0,1393.333333,0
0,1396,0
0,1398.666667,0
0,1401.333333,0
0,1404,0
0,1406.666667,0
0,1409.333333,0
0,1412,0
0,1414.666667,0
0,1417.333333,0
0,1420,0
0,1422.666667,0
0,1425.333333,0
0,1428,0
0,1430.666667,0
0,1433.333333,0
0,1436,0
0,1438.666667,0
0,1441.333333,0
0,1444,0
0,1446.666667,0
0,1449.333333,0
0,1452,0
0,1454.666667,0
0,1457.333333,0
0,1460,0
0,1462.666667,0
0,1465.333333,0
0,1468,0
0,1470.666667,0
0,1473.333333,0
0,1476,0
0,1478.666667,0
0,1481.333333,0
0,1484,0
0,1486.666667,0
0,1489.333333,0
0,1492,0
0,1494.666667,0
0,1497.333333,0
0,1500,0
0,1502.666667,0
0,1505.333333,0
0,1508,0
0,1510.666667,0
0,1513.333333,0
0,1516,0
0,1518.666667,0
0,1521.333333,0
0,1524,0
0,1526.666667,0
0,1529.333333,0
0,1532,0
0,1534.666667,0
0,1537.333333,0
0,1540,0
0,1542.666667,0
0,1545.333333,0
0,1548,0
0,1550.666667,0
0,1553.333333,0
0,1556,0
0,1558.666667,0
0,1561.333333,0
0,1564,0
0,1566.666667,0
0,1569.333333,0
0,1572,0
0,1574.666667,0
0,1577.333333,0
0,1580,0
0,1582.666667,0
0,1585.333333,0
0,1588,0
0,1590.666667,0
0,1593.333333,0
0,1596,0
0,1598.666667,0
0,1601.333333,0
0,1604,0
0,1606.666667,0
0,1609.333333,0
0,1612,0
0,1614.666667,0
0,1617.333333,0
0,1620,0
0,1622.666667,0
0,1625.333333,0
0,1628,0
0,1630.666667,0
0,1633.333333,0
0,1636,0
0,1638.666667,0
0,1641.333333,0
0,1644,0
0,1646.666667,0
0,1649.333333,0
0,1652,0
0,1654.666667,0
0,1657.333333,0
0,1660,0
0,1662.666667,0
0,1665.333333,0
0,1668,0
0,1670.666667,0
0,1673.333333,0
0,1676,0
0,1678.666667,0
0,1681.333333,0
0,1684,0
0,1686.666667,0
0,1689.333333,0
0,1692,0
0,1694.666667,0
0,1697.333333,0
0,1700,0
0,1702.666667,0
0,1705.333333,0
0,1708,0
0,1710.666667,0
0,1713.333333,0
0,1716,0
0,1718.666667,0
0,1721.333333,0
0,1724,0
0,1726.666667,0
0,1729.333333,0
0,1732,0
0,1734.666667,0
0,1737.333333,0
0,1740,0
0,1742.666667,0
0,1745.333333,0
0,1748,0
0,1750.666667,0
0,1753.333333,0
0,1756,0
0,1758.666667,0
0,1761.333333,0
0,1764,0
0,1766.666667,0
0,1769.333333,0
0,1772,0
0,1774.666667,0
0,1777.333333,0
0,1780,0
0,1782.666667,0
0,1785.333333,0
0,1788,0
0,1790.666667,0
0,1793.333333,0
0,1796,0
0,1798.666667,0
0,1801.333333,0
0,1804,0
0,1806.666667,0
0,1809.333333,0
0,1812,0
0,1814.666667,0
0,1817.333333,0
0,1820,0
0,1822.666667,0
0,1825.333333,0
0,1828,0
0,1830.666667,0
0,1833.333333,0
0,1836,0
0,1838.666667,0
0,1841.333333,0
0,1844,0
0,1846.666667,0
0,1849.333333,0
0,1852,0
0,1854.666667,0
0,1857.333333,0
0,1860,0
0,1862.666667,0
0,1865.333333,0
0,1868,0
0,1870.666667,0
0,1873.333333,0
0,1876,0
0,1878.666667,0
0,1881.333333,0
0,1884,0
0,1886.666667,0
0,1889.333333,0
0,1892,0
0,1894.666667,0
0,1897.333333,0
0,1900,0
0,1902.666667,0
0,1905.333333,0
0,1908,0
0,1910.666667,0
0,1913.333333,0
0,1916,0
0,1918.666667,0
0,1921.333333,0
0,1924,0
0,1926.666667,0
0,1929.333333,0
0,1932,0
0,1934.666667,0
0,1937.333333,0
0,1940,0
0,1942.666667,0
0,1945.333333,0
0,1948,0
0,1950.666667,0
0,1953.333333,0
0,1956,0
0,1958.666667,0
0,1961.333333,0
0,1964,0
0,1966.666667,0
0,1969.333333,0
0,1972,0
0,1974.666667,0
0,1977.333333,0
0,1980,0
0,1982.666667,0
0,1985.333333,0
0,1988,0
0,1990.666667,0
0,1993.333333,0
0,1996,0
0,1998.666667,0
0,2001.333333,0
0,2004,0
0,2006.666667,0
0,2009.333333,0
0,2012,0
0,2014.666667,0
0,2017.333333,0
0,2020,0
0,2022.666667,0
0,2025.333333,0
0,2028,0
0,2030.666667,0
0,2033.333333,0
0,2036,0
0,2038.666667,0
0,2041.333333,0
0,2044,0
0,2046.666667,0
0,2049.333333,0
0,2052,0
0,2054.666667,0
0,2057.333333,0
0,2060,0
0,2062.666667,0
0,2065.333333,0
0,2068,0
0,2070.666667,0
0,2073.333333,0
0,2076,0
0,2078.666667,0
0,2081.333333,0
0,2084,0
0,2086.666667,0
0,2089.333333,0
0,2092,0
0,2094.666667,0
0,2097.333333,0
0,2100,0
0,2102.666667,0
0,2105.333333,0
0,2108,0
0,2110.666667,0
0,2113.333333,0
0,2116,0
0,2118.666667,0
0,2121.333333,0
0,2124,0
0,2126.666667,0
0,2129.333333,0
0,2132,0
0,2134.666667,0
0,2137.333333,0
0,2140,0
0,2142.666667,0
0,2145.333333,0
0,2148,0
0,2150.666667,0
0,2153.333333,0
0,2156,0
0,2158.666667,0
0,2161.333333,0
0,2164,0
0,2166.666667,0
0,2169.333333,0
0,2172,0
0,2174.666667,0
0,2177.333333,0
0,2180,0
0,2182.666667,0
