population,no.sites,no.samples,no.haplotypes,no.transitions,sites.transitions,proportion.sites.transitions,no.transversions,sites.transversions,proportion.sites.transversions,no.substitutions,sites.substitutions,porportion.sites.substitutions,no.indels,sites.indels,proportion.sites.indels,sites.polymorphic,proportion.sites.polymorphic,avg.no.pairwise.differences,nucleotide.diversity,no.haplotypes,haplotype.diversity,A,G
New Zealand,640,304,271,224,218,34.06%,80,80,12.50%,304,256,40.00%,23,23,3.59%,268,41.88%,21.888809 +/- 9.674026,0.034308 +/- 0.016773,271,0.9992,29.16%,20.94%
Western Australia,640,68,66,137,130,20.31%,16,16,2.50%,153,139,21.72%,11,11,1.72%,146,22.81%,18.73094 +/- 8.402724,0.029591 +/- 0.014716,66,0.9991,29.10%,20.99%
